X,responseid,age,sex_birth,gender_male,gender_female,gender_transm,gender_transf,gender_queernc,gender_nonbin,gender_selfID,race_black,race_ainaan,race_asian,race_his_temp,race_pi,race_mides,race_white,race_other,fincur,aca_impa,belong1,discrim,trans,cis
1,R_2R98iYud8u180uJ,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,2,1,1,0,1
2,R_9S0vf6d9rKNLSLv,35,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,5,1,0,1
6,R_2AKnN91guMrQMt6,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,3,0,1
7,R_2Ed6JxBH3LuUsZ1,19,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,3,4,1,0,1
9,R_2zvuOqlNvCJJMFW,55,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,3,1,0,1
11,R_6s6uGjSUH0EEDQZ,18,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,1,0,1
13,R_pQR48qRH6nxuuIh,22,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,3,3,1,1,0,1
14,R_2VKex5nHqwwUJXu,39,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,0,1
15,R_1nUtWgYIiJv731v,21,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,3,3,2,2,0,1
16,R_2EmKeiQstd7LQxn,22,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,2,1,3,0,1
17,R_30eMEOFjQh8sY01,22,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,1,1,0,1
19,R_2Ey3ya90Md8DY86,19,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,4,1,0,1
20,R_RFGWrXY0CXwSQtH,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,3,4,2,0,1
22,R_24NnbRd3ryfjISn,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,5,2,0,1
23,R_e9STfx2e8OfAv1D,20,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,2,2,0,1
24,R_6DLkKN7VHzDT5It,23,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,4,2,4,0,1
25,R_ANDYyVmyUqSsUCt,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,1,1,1,0,1
28,R_3KxqPJ6JFHcD8Pj,21,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,4,1,0,1
29,R_1i3QACFLMiwMycQ,20,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,4,1,1,1,0,1
31,R_2uJpZ3h1LCFsVAJ,23,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,2,3,2,0,1
